family	n	seed	m	dijkstraWork	bmsspWork	dmsyWork	ratioBmssp	ratioDmsy
control	5000	0	9998	118508	345928	208086	2.9190	1.7559
control	5000	1	9998	118461	344866	207969	2.9112	1.7556
control	5000	2	9998	118526	342879	207837	2.8929	1.7535
control	5000	3	9998	118468	346494	207763	2.9248	1.7537
control	5000	4	9998	118465	345986	207662	2.9206	1.7529
cascadeAll	5000	0	32532	803537	882561	2675863	1.0983	3.3301
cascadeAll	5000	1	32532	804586	882262	2701109	1.0965	3.3571
cascadeAll	5000	2	32532	804070	886078	2663401	1.1020	3.3124
cascadeAll	5000	3	32532	803034	886123	2640395	1.1035	3.2880
cascadeAll	5000	4	32532	802654	885270	2667176	1.1029	3.3229
