family	n	seed	m	dijkstraWork	bmsspWork	dmsyWork	ratioBmssp	ratioDmsy
cascadeHub	500	0	3069	56989	85027	182198	1.4920	3.1971
cascadeHub	500	1	3069	56835	82986	189923	1.4601	3.3417
cascadeHub	500	2	3069	56829	84792	184256	1.4921	3.2423
cascadeHub	500	3	3069	57241	85960	185382	1.5017	3.2386
cascadeHub	500	4	3069	57228	85028	194058	1.4858	3.3910
cascadeHub	5000	0	32532	790283	1106210	3051848	1.3998	3.8617
cascadeHub	5000	1	32532	790476	1090875	3124020	1.3800	3.9521
cascadeHub	5000	2	32532	790394	1128850	3129517	1.4282	3.9594
cascadeHub	5000	3	32532	790033	1097443	3052971	1.3891	3.8644
cascadeHub	5000	4	32532	790617	1107364	3113993	1.4006	3.9387
