family	n	seed	m	dijkstraWork	bmsspWork	dmsyWork	ratioBmssp	ratioDmsy
control	500	0	998	8562	26517	17287	3.0971	2.0190
control	500	1	998	8568	26999	17219	3.1511	2.0097
control	500	2	998	8568	26507	17277	3.0937	2.0165
cascade3	500	0	1013	13993	39050	23232	2.7907	1.6603
cascade3	500	1	1013	14130	38138	23175	2.6991	1.6401
cascade3	500	2	1013	14143	39044	23243	2.7607	1.6434
cascadeAll	500	0	3069	57439	75814	218883	1.3199	3.8107
cascadeAll	500	1	3069	57599	74687	221173	1.2967	3.8399
cascadeAll	500	2	3069	57884	74276	155566	1.2832	2.6875
wideFrontier	500	0	1000	7435	15161	14951	2.0391	2.0109
wideFrontier	500	1	1000	7598	16012	15078	2.1074	1.9845
wideFrontier	500	2	1000	7759	16042	15241	2.0675	1.9643
