kind	n	seed	k	t	tVariant	L	dijkstraWork	bmsspWork	ratio
sparse	25000	0	4	5	paper	3	511273	504852	0.9874
sparse	25000	0	8	5	paper	3	511273	552597	1.0808
sparse	25000	0	16	5	paper	3	511273	587078	1.1483
sparse	25000	1	4	5	paper	3	517412	506841	0.9796
sparse	25000	1	8	5	paper	3	517412	577040	1.1152
sparse	25000	1	16	5	paper	3	517412	588866	1.1381
maze	25000	0	4	5	paper	3	153051	413702	2.7030
maze	25000	0	8	5	paper	3	153051	407067	2.6597
maze	25000	0	16	5	paper	3	153051	402243	2.6282
maze	25000	1	4	5	paper	3	133694	385140	2.8808
maze	25000	1	8	5	paper	3	133694	376572	2.8167
maze	25000	1	16	5	paper	3	133694	371331	2.7775
clusters	25000	0	4	5	paper	3	1672016	2226976	1.3319
clusters	25000	0	8	5	paper	3	1672016	2260690	1.3521
clusters	25000	0	16	5	paper	3	1672016	2354101	1.4079
clusters	25000	1	4	5	paper	3	1698500	2159110	1.2712
clusters	25000	1	8	5	paper	3	1698500	2212920	1.3029
clusters	25000	1	16	5	paper	3	1698500	2430993	1.4313
